type,name,edge
pp_Camera,Перекресток 008222-02_X0 Обработчик пр. Момышулы - пр. Мира перекресток,Temirtau
pp_Camera,Перекресток 008223-01_X0 Обработчик пр. Республики - ул. Сарыарка перекресток,Temirtau
pp_Camera,Перекресток 008223-02_X0 Обработчик пр. Республики - ул. Сарыарка перекресток,Temirtau
pp_Camera,Перекресток 008224-01_X0 Обработчик пр. Мира - ул. Чернышевского перекресток,Temirtau
pp_Camera,Перекресток 008224-02_X0 Обработчик пр. Мира - ул. Чернышевского перекресток,Temirtau
pp_Camera,"Пешеходный переход 008035-03_W0 Обработчик пр. Металлургов, 28А",Temirtau
pp_Camera,"Пешеходный переход 008038-03_W0 Обработчик пр. Металлургов, 8А",Temirtau
pp_Camera,"Пешеходный переход 008191-03_W0 Обработчик пр. Металлургов, 13А",Temirtau
pp_Camera,"Пешеходный переход 008207-01_W0 Обработчик пр. Момышулы, 19А",Temirtau
pp_Camera,"Пешеходный переход 008207-02_W0 Обработчик пр. Момышулы, 19А",Temirtau
pp_Camera,"Пешеходный переход 008208-01_W0 Обработчик пр. Момышулы, 25",Temirtau
pp_Camera,"Пешеходный переход 008219-01_W0 Обработчик ул. Чернышевского, 102 (возле СОШ №4)",Temirtau
pp_Camera,"Пешеходный переход 008219-02_W0 Обработчик ул. Чернышевского, 102 (возле СОШ №4)",Temirtau
pp_Camera,"Пешеходный переход 008220-01_W0 Обработчик ул. Чернышевского, 112",Temirtau
pp_Camera,"Пешеходный переход 008220-02_W0 Обработчик ул. Чернышевского, 112",Temirtau
pp_Camera,Рубеж 008023-01_R0 Обработчик пр. Металлургов (Возле центральной мечети г. Темиртау им. Алихана Бокейханова),Temirtau
pp_Camera,Рубеж 008071-04_R0 Обработчик ул. Абая - ул. Чернышевского перекресток,Temirtau
pp_Camera,Рубеж 008072-04_R0 Обработчик пр. Металлургов (Аллея возле пр. Металлургов - ул. Абая перекресток),Temirtau
pp_Camera,Рубеж 008072-05_R0 Обработчик пр. Металлургов (Аллея возле пр. Металлургов - ул. Абая перекресток),Temirtau
pp_Camera,Рубеж 008080-03_R0 Обработчик пр. Республики - пр. Момышулы перекресток,Temirtau
pp_Camera,Рубеж 008091-01_R0 Обработчик пр. Республики - пр. Металлургов перекресток,Temirtau
pp_Camera,Рубеж 008094-02_R0 Обработчик пр. Момышулы - пр. Мира перекресток,Temirtau
pp_Camera,Рубеж 008095-02_R0 Обработчик пр. Момышулы - ул. Амангельды перекресток,Temirtau
pp_Camera,Рубеж 008096-02_R0 Обработчик пр. Момышулы - ул. Абая перекресток,Temirtau
pp_Camera,Рубеж 008098-01_R0 Обработчик пр. Мира - пр. Металлургов перекресток,Temirtau
pp_Camera,Рубеж 008098-02_R0 Обработчик пр. Мира - пр. Металлургов перекресток,Temirtau
pp_Camera,Рубеж 008100-02_R0 Обработчик пр.Мира - ул. Караганда перекресток,Temirtau
pp_Camera,"Рубеж 008101-07_R0 Обработчик пр. Республики, 1/3 (Площадь перед ""АрселорМиттал Темиртау"")",Temirtau
pp_Camera,"Рубеж 008101-08_R0 Обработчик пр. Республики, 1/3 (Площадь перед ""АрселорМиттал Темиртау"")",Temirtau
pp_Camera,"Рубеж 008101-09_R0 Обработчик пр. Республики, 1/3 (Площадь перед ""АрселорМиттал Темиртау"")",Temirtau
pp_Camera,"Рубеж 008101-10_R0 Обработчик пр. Республики, 1/3 (Площадь перед ""АрселорМиттал Темиртау"")",Temirtau
pp_Camera,Рубеж 008102-02_R0 Обработчик пр. Республики - пр. Металлургов перекресток,Temirtau
pp_Camera,Рубеж 008107-02_R0 Обработчик пр. Республики - ул. Сарыарка перекресток,Temirtau
pp_Camera,Рубеж 008111-01_R0 Обработчик пр. Республики (Путепровод),Temirtau
pp_Camera,Рубеж 008111-02_R0 Обработчик пр. Республики (Путепровод),Temirtau
pp_Camera,Рубеж 008112-01_R0 Обработчик пр. Металлургов (Возле Никольского собора),Temirtau
pp_Camera,Рубеж 008113-01_R0 Обработчик пр. Мира - ул. Чернышевского перекресток,Temirtau
pp_Camera,Рубеж 008113-02_R0 Обработчик пр. Мира - ул. Чернышевского перекресток,Temirtau
pp_Camera,Рубеж 008114-01_R0 ул. Караганда (Возле Чулочно-носочная фабрика г.Темиртау),Temirtau
