type,name,edge
pp_Camera,Статика 009013-02 ул. Бокейханова (здание ОП),Osakarovka
pp_Camera,Статика 009013-03 ул. Бокейханова (здание ОП),Osakarovka
pp_Camera,Статика 009014-01 ул. Бокейханова (здание районного суда №1),Osakarovka
pp_Camera,Статика 009014-02 ул. Бокейханова (здание районного суда №1),Osakarovka
pp_Camera,Статика 009015-01 ул. Бокейханова (СШ №1),Osakarovka
pp_Camera,Статика 009015-02 ул. Бокейханова (СШ №1),Osakarovka
pp_Camera,Статика 009015-03 ул. Бокейханова (СШ №1),Osakarovka
pp_Camera,Статика 009015-04 ул. Бокейханова (СШ №1),Osakarovka
pp_Camera,Статика 009016-01 ул. Бокейханова (Центральный парк),Osakarovka
pp_Camera,Статика 009016-02 ул. Бокейханова (Центральный парк),Osakarovka
pp_Camera,Статика 009016-03 ул. Бокейханова (Центральный парк),Osakarovka
pp_Camera,"Статика 009017-01 ул. Достык (""НБ"", районный Акимат, СПК ""Ишим"", АО ""Казпочта"")",Osakarovka
pp_Camera,"Статика 009017-02 ул. Достык (""НБ"", районный Акимат, СПК ""Ишим"", АО ""Казпочта"")",Osakarovka
pp_Camera,"Статика 009017-03 ул. Достык (""НБ"", районный Акимат, СПК ""Ишим"", АО ""Казпочта"")",Osakarovka
pp_Camera,"Статика 009017-04 ул. Достык (""НБ"", районный Акимат, СПК ""Ишим"", АО ""Казпочта"")",Osakarovka
pp_Camera,"Статика 009017-05 ул. Достык (""НБ"", районный Акимат, СПК ""Ишим"", АО ""Казпочта"")",Osakarovka
pp_Camera,Статика 009018-01 ул. Достык (ГУ «Гимназия №9»),Osakarovka
pp_Camera,Статика 009018-02 ул. Достык (ГУ «Гимназия №9»),Osakarovka
pp_Camera,Статика 009018-03 ул. Достык (ГУ «Гимназия №9»),Osakarovka
pp_Camera,"Статика 009019-01 ул. Достык (магазин ""Балкантау"")",Osakarovka
pp_Camera,"Статика 009020-01 ул. Достык (ПЧ - 37, ГЦВП)",Osakarovka
pp_Camera,"Статика 009021-01 ул. Октябрьская (кафе ""Марафон"")",Osakarovka
pp_Camera,"Статика 009022-01 ул. Сельхозснабская (здание ЦОНа, мечеть)",Osakarovka
pp_Camera,"Статика 009022-02 ул. Сельхозснабская (здание ЦОНа, мечеть)",Osakarovka
pp_Camera,"Статика 009023-01 ул. Сельхозснабская (кафе ""Евразия"")",Osakarovka
pp_Camera,"Статика 009023-02 ул. Сельхозснабская (кафе ""Евразия"")",Osakarovka
pp_Camera,"Статика 009024-01 ул. Сельхозснабская (кафе ""Олимп"")",Osakarovka
pp_Camera,"Статика 009025-01 ул. Сельхозснабская (кафе ""Таверна"")",Osakarovka
pp_Camera,"Статика 009025-02 ул. Сельхозснабская (кафе ""Таверна"")",Osakarovka
pp_Camera,"Статика 009026-01 ул. Сельхозснабская (кафе ""Тойхана"")",Osakarovka
pp_Camera,"Статика 009026-02 ул. Сельхозснабская (кафе ""Тойхана"")",Osakarovka
pp_Camera,"Статика 009029-01 ул. Целинная (напротив Детский сад ""Нурай"")",Osakarovka
pp_Camera,"Статика 009029-02 ул. Целинная (напротив Детский сад ""Нурай"")",Osakarovka
pp_Camera,"Статика 009029-03 ул. Целинная (напротив Детский сад ""Нурай"")",Osakarovka
pp_Camera,"Статика 009030-01 ул. Шахматная (военкомат, ТЦ ""Тумар"")",Osakarovka
pp_Camera,"Статика 009030-02 ул. Шахматная (военкомат, ТЦ ""Тумар"")",Osakarovka
pp_Camera,Статика 009031-01 ул. Школьная (здание ЦРБ),Osakarovka
pp_Camera,Статика 009031-02 ул. Школьная (здание ЦРБ),Osakarovka
pp_Camera,"Статика 009034-01 ул. Гагарина, 30",Osakarovka
pp_Camera,Статика 009038-01 ул. Восточная (КРЭК),Osakarovka
pp_Camera,Статика 009039-01 ул. Мирная - пер. Советский перекресток,Osakarovka
pp_Camera,Статика 009042-01 ул. Юбилейная - ул. Интернациональная перекресток,Osakarovka
